,Unnamed: 0,image_id
6536,7646,ISIC_0034311
402,402,ISIC_0030203
752,752,ISIC_0027770
2255,3364,ISIC_0025041
1398,2507,ISIC_0029847
7462,8572,ISIC_0032489
7319,8429,ISIC_0031399
5383,6492,ISIC_0024397
3549,4658,ISIC_0025998
5915,7025,ISIC_0025834
6218,7328,ISIC_0033610
5107,6216,ISIC_0030832
3386,4495,ISIC_0026377
2270,3379,ISIC_0024464
5602,6711,ISIC_0029534
638,638,ISIC_0027982
7995,9107,ISIC_0030639
1684,2793,ISIC_0031976
3944,5053,ISIC_0030779
417,417,ISIC_0029051
7569,8679,ISIC_0026852
5093,6202,ISIC_0029579
5843,6953,ISIC_0028528
213,213,ISIC_0034115
8605,9717,ISIC_0028231
7383,8493,ISIC_0028135
721,721,ISIC_0026539
3429,4538,ISIC_0027720
6321,7431,ISIC_0032885
1748,2857,ISIC_0026970
7485,8595,ISIC_0027963
7545,8655,ISIC_0029286
314,314,ISIC_0025326
633,633,ISIC_0028710
8345,9457,ISIC_0034054
7731,8843,ISIC_0025542
1655,2764,ISIC_0029489
3804,4913,ISIC_0027955
2761,3870,ISIC_0032223
4188,5297,ISIC_0027399
2189,3298,ISIC_0025205
8452,9564,ISIC_0033467
869,869,ISIC_0024915
2341,3450,ISIC_0031571
1072,1072,ISIC_0026262
7247,8357,ISIC_0025231
5003,6112,ISIC_0026250
8749,9861,ISIC_0029573
7641,8751,ISIC_0029614
3823,4932,ISIC_0032464
4575,5684,ISIC_0025460
6373,7483,ISIC_0033090
6155,7265,ISIC_0026502
7018,8128,ISIC_0031923
5318,6427,ISIC_0025263
3634,4743,ISIC_0025827
6340,7450,ISIC_0033857
2883,3992,ISIC_0027712
2933,4042,ISIC_0031792
7107,8217,ISIC_0024975
229,229,ISIC_0032675
5621,6730,ISIC_0031247
6574,7684,ISIC_0032620
6690,7800,ISIC_0033350
2963,4072,ISIC_0032505
6319,7429,ISIC_0033210
4739,5848,ISIC_0026394
3009,4118,ISIC_0026436
1291,2400,ISIC_0032715
6140,7250,ISIC_0025261
3616,4725,ISIC_0027092
7062,8172,ISIC_0027003
6582,7692,ISIC_0032579
2676,3785,ISIC_0026032
8506,9618,ISIC_0033028
2512,3621,ISIC_0024649
8406,9518,ISIC_0034185
4125,5234,ISIC_0030419
7617,8727,ISIC_0025424
7806,8918,ISIC_0026111
5545,6654,ISIC_0028904
5846,6956,ISIC_0028810
2042,3151,ISIC_0025487
1332,2441,ISIC_0031065
371,371,ISIC_0027454
3632,4741,ISIC_0025733
113,113,ISIC_0024623
3134,4243,ISIC_0025844
6971,8081,ISIC_0025972
8294,9406,ISIC_0033903
305,305,ISIC_0025656
8177,9289,ISIC_0031127
7233,8343,ISIC_0031204
2907,4016,ISIC_0026385
7224,8334,ISIC_0025240
5825,6935,ISIC_0031221
8490,9602,ISIC_0033628
8626,9738,ISIC_0026927
1263,2372,ISIC_0033591
1408,2517,ISIC_0029515
7564,8674,ISIC_0027917
4070,5179,ISIC_0028269
2065,3174,ISIC_0026234
8696,9808,ISIC_0027178
8458,9570,ISIC_0034228
2846,3955,ISIC_0030518
8571,9683,ISIC_0031547
2779,3888,ISIC_0030490
5607,6716,ISIC_0024594
3920,5029,ISIC_0031419
1926,3035,ISIC_0031068
7187,8297,ISIC_0027510
6809,7919,ISIC_0033532
1650,2759,ISIC_0026056
6480,7590,ISIC_0033627
3587,4696,ISIC_0027081
6875,7985,ISIC_0034171
4681,5790,ISIC_0029712
1962,3071,ISIC_0032048
6314,7424,ISIC_0033917
1951,3060,ISIC_0032210
1307,2416,ISIC_0025197
8704,9816,ISIC_0031211
2113,3222,ISIC_0029290
7922,9034,ISIC_0031930
5108,6217,ISIC_0028169
5715,6825,ISIC_0029756
5529,6638,ISIC_0025669
7850,8962,ISIC_0028602
1701,2810,ISIC_0029035
6098,7208,ISIC_0034274
4208,5317,ISIC_0032295
8610,9722,ISIC_0025831
5181,6290,ISIC_0028832
3154,4263,ISIC_0024307
2784,3893,ISIC_0029689
4379,5488,ISIC_0029807
8715,9827,ISIC_0024418
3391,4500,ISIC_0029074
2064,3173,ISIC_0030050
3287,4396,ISIC_0028911
1636,2745,ISIC_0030528
6743,7853,ISIC_0033062
4729,5838,ISIC_0029005
2791,3900,ISIC_0024346
2816,3925,ISIC_0032487
3089,4198,ISIC_0025968
1800,2909,ISIC_0028419
1237,2346,ISIC_0029514
6560,7670,ISIC_0034194
8326,9438,ISIC_0033223
1692,2801,ISIC_0032290
8072,9184,ISIC_0032236
2837,3946,ISIC_0029940
5250,6359,ISIC_0032354
7994,9106,ISIC_0026347
4609,5718,ISIC_0027726
3790,4899,ISIC_0029941
6377,7487,ISIC_0034111
4604,5713,ISIC_0030762
2640,3749,ISIC_0032166
4162,5271,ISIC_0026284
5920,7030,ISIC_0026237
1410,2519,ISIC_0026643
8823,9935,ISIC_0031993
6328,7438,ISIC_0033138
910,910,ISIC_0032967
836,836,ISIC_0031987
1339,2448,ISIC_0031276
5711,6821,ISIC_0027662
6861,7971,ISIC_0033508
8356,9468,ISIC_0033588
917,917,ISIC_0032315
6836,7946,ISIC_0034247
8014,9126,ISIC_0024380
6521,7631,ISIC_0033188
737,737,ISIC_0028121
4556,5665,ISIC_0030234
266,266,ISIC_0029014
5913,7023,ISIC_0027709
569,569,ISIC_0026493
1607,2716,ISIC_0026716
7093,8203,ISIC_0032347
970,970,ISIC_0033685
7391,8501,ISIC_0026400
5682,6792,ISIC_0028154
2535,3644,ISIC_0026051
702,702,ISIC_0024871
3440,4549,ISIC_0031112
6583,7693,ISIC_0033189
546,546,ISIC_0025627
8640,9752,ISIC_0029362
8779,9891,ISIC_0032014
1679,2788,ISIC_0028556
5294,6403,ISIC_0027494
1795,2904,ISIC_0030094
4774,5883,ISIC_0031500
776,776,ISIC_0024489
989,989,ISIC_0031253
5640,6749,ISIC_0027839
7119,8229,ISIC_0026804
8881,9993,ISIC_0026650
8445,9557,ISIC_0032635
3608,4717,ISIC_0024659
5570,6679,ISIC_0026020
5502,6611,ISIC_0027632
385,385,ISIC_0027344
1106,1106,ISIC_0031827
346,346,ISIC_0028233
4894,6003,ISIC_0026264
8872,9984,ISIC_0029830
3048,4157,ISIC_0027636
4219,5328,ISIC_0024513
5443,6552,ISIC_0029155
195,195,ISIC_0033606
2865,3974,ISIC_0026515
7681,8791,ISIC_0029054
8160,9272,ISIC_0030229
7232,8342,ISIC_0030652
8110,9222,ISIC_0026358
5045,6154,ISIC_0025609
5882,6992,ISIC_0029357
7170,8280,ISIC_0028265
6874,7984,ISIC_0034297
5834,6944,ISIC_0025870
3439,4548,ISIC_0028896
5814,6924,ISIC_0027812
5991,7101,ISIC_0026403
1108,1108,ISIC_0025668
7652,8762,ISIC_0027469
3824,4933,ISIC_0028046
1819,2928,ISIC_0030249
7725,8837,ISIC_0025579
2733,3842,ISIC_0032241
5747,6857,ISIC_0027403
1719,2828,ISIC_0031057
6260,7370,ISIC_0034264
56,56,ISIC_0027960
8233,9345,ISIC_0030890
5511,6620,ISIC_0026630
3372,4481,ISIC_0030867
7750,8862,ISIC_0031476
4243,5352,ISIC_0027481
3112,4221,ISIC_0026906
8689,9801,ISIC_0030375
4508,5617,ISIC_0025459
6180,7290,ISIC_0030899
533,533,ISIC_0026219
6710,7820,ISIC_0032703
4587,5696,ISIC_0028433
5498,6607,ISIC_0031906
3689,4798,ISIC_0029497
6804,7914,ISIC_0034271
2199,3308,ISIC_0026562
2146,3255,ISIC_0031773
6952,8062,ISIC_0030626
6052,7162,ISIC_0034227
3840,4949,ISIC_0029380
6777,7887,ISIC_0033167
1506,2615,ISIC_0033579
4899,6008,ISIC_0029250
31,31,ISIC_0031159
2954,4063,ISIC_0027438
5225,6334,ISIC_0025426
1114,1114,ISIC_0033790
8169,9281,ISIC_0026657
2790,3899,ISIC_0029599
1308,2417,ISIC_0032409
4441,5550,ISIC_0028801
8154,9266,ISIC_0025323
4338,5447,ISIC_0025479
7165,8275,ISIC_0024837
8187,9299,ISIC_0032042
2778,3887,ISIC_0025822
3243,4352,ISIC_0027232
40,40,ISIC_0031650
450,450,ISIC_0029557
6635,7745,ISIC_0033914
7737,8849,ISIC_0025533
6256,7366,ISIC_0034199
1305,2414,ISIC_0025677
1843,2952,ISIC_0027788
391,391,ISIC_0032156
6896,8006,ISIC_0027397
6344,7454,ISIC_0033840
6307,7417,ISIC_0032825
2715,3824,ISIC_0025974
3461,4570,ISIC_0027785
4262,5371,ISIC_0026944
6716,7826,ISIC_0033502
1366,2475,ISIC_0027135
6114,7224,ISIC_0034136
1135,1135,ISIC_0030427
2158,3267,ISIC_0029044
678,678,ISIC_0029588
1465,2574,ISIC_0030010
6267,7377,ISIC_0032785
7640,8750,ISIC_0026103
8472,9584,ISIC_0033647
404,404,ISIC_0024676
7193,8303,ISIC_0029938
3617,4726,ISIC_0032053
5298,6407,ISIC_0027565
6742,7852,ISIC_0033932
289,289,ISIC_0028701
729,729,ISIC_0026744
4574,5683,ISIC_0032472
1777,2886,ISIC_0027546
7619,8729,ISIC_0029160
3805,4914,ISIC_0031862
6738,7848,ISIC_0033340
2957,4066,ISIC_0024656
1103,1103,ISIC_0029760
2471,3580,ISIC_0028428
1625,2734,ISIC_0024665
3664,4773,ISIC_0031587
3506,4615,ISIC_0029071
573,573,ISIC_0025719
5555,6664,ISIC_0030891
808,808,ISIC_0030394
3286,4395,ISIC_0028741
8026,9138,ISIC_0032074
3597,4706,ISIC_0031634
8590,9702,ISIC_0027795
2958,4067,ISIC_0024807
6541,7651,ISIC_0034240
4509,5618,ISIC_0031765
2139,3248,ISIC_0025722
6397,7507,ISIC_0034096
3047,4156,ISIC_0027056
7384,8494,ISIC_0026782
4238,5347,ISIC_0029275
6677,7787,ISIC_0032737
5903,7013,ISIC_0030406
444,444,ISIC_0030007
8519,9631,ISIC_0034040
7045,8155,ISIC_0026705
1595,2704,ISIC_0024632
6577,7687,ISIC_0033711
3559,4668,ISIC_0029399
4245,5354,ISIC_0027906
203,203,ISIC_0032757
3288,4397,ISIC_0028853
1960,3069,ISIC_0028924
2422,3531,ISIC_0028705
238,238,ISIC_0033124
1453,2562,ISIC_0030659
3581,4690,ISIC_0030999
78,78,ISIC_0032283
6774,7884,ISIC_0032581
6163,7273,ISIC_0029662
6489,7599,ISIC_0032702
7437,8547,ISIC_0030790
5350,6459,ISIC_0027054
7144,8254,ISIC_0027902
1287,2396,ISIC_0031093
8486,9598,ISIC_0034266
5656,6765,ISIC_0031145
4661,5770,ISIC_0031886
8430,9542,ISIC_0029152
4857,5966,ISIC_0025727
6782,7892,ISIC_0033574
1046,1046,ISIC_0031558
8239,9351,ISIC_0031973
4160,5269,ISIC_0030149
457,457,ISIC_0029789
1814,2923,ISIC_0028964
3149,4258,ISIC_0029992
660,660,ISIC_0029032
2309,3418,ISIC_0027164
3821,4930,ISIC_0030475
309,309,ISIC_0024711
7075,8185,ISIC_0029664
143,143,ISIC_0032514
4248,5357,ISIC_0027489
8168,9280,ISIC_0026834
287,287,ISIC_0032325
6869,7979,ISIC_0034181
4330,5439,ISIC_0025176
5591,6700,ISIC_0026890
5172,6281,ISIC_0030496
5164,6273,ISIC_0027842
7189,8299,ISIC_0025534
5339,6448,ISIC_0025912
5772,6882,ISIC_0029296
1742,2851,ISIC_0027425
8414,9526,ISIC_0033577
4510,5619,ISIC_0031818
8597,9709,ISIC_0030242
6978,8088,ISIC_0031460
1143,1143,ISIC_0032114
2375,3484,ISIC_0027251
8245,9357,ISIC_0025898
3845,4954,ISIC_0025462
5314,6423,ISIC_0029356
6430,7540,ISIC_0032560
2263,3372,ISIC_0030376
8549,9661,ISIC_0031791
4076,5185,ISIC_0030716
646,646,ISIC_0030849
3717,4826,ISIC_0026058
716,716,ISIC_0024881
1145,1145,ISIC_0031344
1363,2472,ISIC_0026656
4918,6027,ISIC_0026971
7868,8980,ISIC_0024447
4092,5201,ISIC_0024670
2084,3193,ISIC_0025142
6153,7263,ISIC_0025871
6649,7759,ISIC_0032995
233,233,ISIC_0033913
4925,6034,ISIC_0031187
4146,5255,ISIC_0027694
7820,8932,ISIC_0028592
4875,5984,ISIC_0028097
4987,6096,ISIC_0029954
6099,7209,ISIC_0033331
3415,4524,ISIC_0026904
8801,9913,ISIC_0030158
5537,6646,ISIC_0027368
1634,2743,ISIC_0028583
4725,5834,ISIC_0026815
8432,9544,ISIC_0033622
1104,1104,ISIC_0030555
2885,3994,ISIC_0026253
7402,8512,ISIC_0029162
2260,3369,ISIC_0028025
299,299,ISIC_0027739
7908,9020,ISIC_0024620
425,425,ISIC_0030723
5295,6404,ISIC_0025124
2594,3703,ISIC_0026361
5670,6780,ISIC_0026552
7128,8238,ISIC_0030058
6173,7283,ISIC_0025262
256,256,ISIC_0033486
1040,1040,ISIC_0025856
5129,6238,ISIC_0031484
4529,5638,ISIC_0030500
4936,6045,ISIC_0024703
7847,8959,ISIC_0024882
342,342,ISIC_0029340
6823,7933,ISIC_0032663
8289,9401,ISIC_0032931
2346,3455,ISIC_0027919
3201,4310,ISIC_0025701
7703,8813,ISIC_0030873
1613,2722,ISIC_0027531
5505,6614,ISIC_0030865
2143,3252,ISIC_0028136
8260,9372,ISIC_0027961
6803,7913,ISIC_0034128
7074,8184,ISIC_0032260
7007,8117,ISIC_0028425
4919,6028,ISIC_0028948
4717,5826,ISIC_0031458
7423,8533,ISIC_0024899
1955,3064,ISIC_0028185
4183,5292,ISIC_0028708
8788,9900,ISIC_0024579
251,251,ISIC_0033446
3349,4458,ISIC_0030342
2416,3525,ISIC_0029211
1727,2836,ISIC_0028050
864,864,ISIC_0026351
4721,5830,ISIC_0025690
4059,5168,ISIC_0024677
8150,9262,ISIC_0024577
4432,5541,ISIC_0032493
937,937,ISIC_0033531
7235,8345,ISIC_0029215
1630,2739,ISIC_0024454
6517,7627,ISIC_0032700
8181,9293,ISIC_0027266
1461,2570,ISIC_0027851
4403,5512,ISIC_0025646
7616,8726,ISIC_0024926
8734,9846,ISIC_0029210
4454,5563,ISIC_0025012
3580,4689,ISIC_0025521
7073,8183,ISIC_0028692
7440,8550,ISIC_0029197
1220,2329,ISIC_0024904
6203,7313,ISIC_0033503
6152,7262,ISIC_0029902
1598,2707,ISIC_0031643
3987,5096,ISIC_0030084
7776,8888,ISIC_0031366
3204,4313,ISIC_0032120
6286,7396,ISIC_0033231
6564,7674,ISIC_0033447
4888,5997,ISIC_0030424
211,211,ISIC_0033709
811,811,ISIC_0031677
6554,7664,ISIC_0033731
7787,8899,ISIC_0028310
6890,8000,ISIC_0033734
1709,2818,ISIC_0028329
4169,5278,ISIC_0028469
8348,9460,ISIC_0034277
5658,6767,ISIC_0024642
5413,6522,ISIC_0027628
7809,8921,ISIC_0026581
7390,8500,ISIC_0031934
7560,8670,ISIC_0026053
6418,7528,ISIC_0033972
8767,9879,ISIC_0026525
6296,7406,ISIC_0033849
3382,4491,ISIC_0026007
5284,6393,ISIC_0031869
2089,3198,ISIC_0025365
551,551,ISIC_0030758
7269,8379,ISIC_0026052
4597,5706,ISIC_0030236
1432,2541,ISIC_0027998
3245,4354,ISIC_0027409
5599,6708,ISIC_0024597
8352,9464,ISIC_0032889
2178,3287,ISIC_0031907
1029,1029,ISIC_0031436
3411,4520,ISIC_0025200
891,891,ISIC_0028449
4173,5282,ISIC_0025570
4901,6010,ISIC_0030724
374,374,ISIC_0024412
398,398,ISIC_0024445
3086,4195,ISIC_0027695
1530,2639,ISIC_0032777
7053,8163,ISIC_0027670
4578,5687,ISIC_0028564
7987,9099,ISIC_0028016
641,641,ISIC_0031459
2585,3694,ISIC_0031114
999,999,ISIC_0026566
733,733,ISIC_0028343
6295,7405,ISIC_0032780
7068,8178,ISIC_0027052
5819,6929,ISIC_0028966
5952,7062,ISIC_0030350
7823,8935,ISIC_0029075
5753,6863,ISIC_0025073
1939,3048,ISIC_0029351
5092,6201,ISIC_0026116
7509,8619,ISIC_0029452
6605,7715,ISIC_0034182
5032,6141,ISIC_0024605
2874,3983,ISIC_0025493
568,568,ISIC_0024477
1089,1089,ISIC_0031761
2611,3720,ISIC_0026875
7315,8425,ISIC_0028167
5601,6710,ISIC_0031178
6900,8010,ISIC_0034090
2847,3956,ISIC_0031715
2723,3832,ISIC_0025213
7989,9101,ISIC_0030942
5997,7107,ISIC_0031158
1873,2982,ISIC_0031325
5538,6647,ISIC_0028004
1818,2927,ISIC_0031298
5908,7018,ISIC_0025689
6449,7559,ISIC_0033492
8002,9114,ISIC_0029390
5577,6686,ISIC_0026346
5452,6561,ISIC_0032068
1280,2389,ISIC_0030606
1583,2692,ISIC_0027601
6272,7382,ISIC_0033753
4734,5843,ISIC_0031305
4589,5698,ISIC_0030680
73,73,ISIC_0025140
189,189,ISIC_0033582
3922,5031,ISIC_0028996
333,333,ISIC_0028354
6866,7976,ISIC_0034249
7655,8765,ISIC_0030973
1334,2443,ISIC_0024375
4479,5588,ISIC_0027992
4738,5847,ISIC_0030650
7412,8522,ISIC_0031302
6936,8046,ISIC_0033033
8163,9275,ISIC_0030485
3957,5066,ISIC_0024785
2154,3263,ISIC_0027416
4276,5385,ISIC_0027386
7084,8194,ISIC_0029572
1603,2712,ISIC_0028486
4636,5745,ISIC_0031182
4360,5469,ISIC_0025686
6032,7142,ISIC_0033712
5301,6410,ISIC_0028700
786,786,ISIC_0031872
2243,3352,ISIC_0025052
4336,5445,ISIC_0028040
522,522,ISIC_0025693
5984,7094,ISIC_0032470
2887,3996,ISIC_0026397
589,589,ISIC_0025519
135,135,ISIC_0032778
3344,4453,ISIC_0030101
2610,3719,ISIC_0031364
16,16,ISIC_0025915
2857,3966,ISIC_0032454
3568,4677,ISIC_0027518
3510,4619,ISIC_0028313
6507,7617,ISIC_0032705
3583,4692,ISIC_0025408
689,689,ISIC_0032040
8700,9812,ISIC_0029371
3328,4437,ISIC_0029806
8060,9172,ISIC_0031965
3897,5006,ISIC_0028070
3416,4525,ISIC_0026461
7728,8840,ISIC_0027627
6046,7156,ISIC_0032954
2434,3543,ISIC_0032162
809,809,ISIC_0027735
4135,5244,ISIC_0031274
5900,7010,ISIC_0032027
2204,3313,ISIC_0024433
6367,7477,ISIC_0033906
2577,3686,ISIC_0025678
5512,6621,ISIC_0030109
2936,4045,ISIC_0024619
5324,6433,ISIC_0031507
4968,6077,ISIC_0031946
6229,7339,ISIC_0033521
7723,8835,ISIC_0032405
2109,3218,ISIC_0027195
909,909,ISIC_0034315
4625,5734,ISIC_0028199
2000,3109,ISIC_0031579
7580,8690,ISIC_0026491
3135,4244,ISIC_0028422
7959,9071,ISIC_0032148
1629,2738,ISIC_0026496
3322,4431,ISIC_0029006
1822,2931,ISIC_0028122
3403,4512,ISIC_0030529
1784,2893,ISIC_0031318
4234,5343,ISIC_0029234
4381,5490,ISIC_0027666
2269,3378,ISIC_0026986
8470,9582,ISIC_0033072
2414,3523,ISIC_0031038
2254,3363,ISIC_0030880
5161,6270,ISIC_0025839
8443,9555,ISIC_0032632
1449,2558,ISIC_0024504
8792,9904,ISIC_0026132
2534,3643,ISIC_0027646
3164,4273,ISIC_0026527
2698,3807,ISIC_0027215
435,435,ISIC_0026606
2806,3915,ISIC_0031898
941,941,ISIC_0032843
8416,9528,ISIC_0032678
8250,9362,ISIC_0032008
7802,8914,ISIC_0028205
8316,9428,ISIC_0033589
8369,9481,ISIC_0033082
780,780,ISIC_0028180
8862,9974,ISIC_0024654
4258,5367,ISIC_0030808
870,870,ISIC_0024409
5094,6203,ISIC_0024812
2536,3645,ISIC_0028184
7141,8251,ISIC_0026841
5334,6443,ISIC_0031497
1120,1120,ISIC_0030321
4015,5124,ISIC_0027619
3541,4650,ISIC_0025773
3000,4109,ISIC_0028318
6790,7900,ISIC_0033403
7706,8816,ISIC_0028355
3242,4351,ISIC_0027534
8691,9803,ISIC_0024575
8269,9381,ISIC_0029970
10,10,ISIC_0025276
5021,6130,ISIC_0030651
7594,8704,ISIC_0025289
4347,5456,ISIC_0029154
7279,8389,ISIC_0027667
6529,7639,ISIC_0034178
1555,2664,ISIC_0032727
725,725,ISIC_0026871
5296,6405,ISIC_0027029
704,704,ISIC_0028376
4205,5314,ISIC_0025802
1146,1146,ISIC_0028346
4945,6054,ISIC_0028669
7179,8289,ISIC_0030077
38,38,ISIC_0027053
2470,3579,ISIC_0026949
1695,2804,ISIC_0031526
1436,2545,ISIC_0032415
1919,3028,ISIC_0025398
3239,4348,ISIC_0024685
2212,3321,ISIC_0025221
8041,9153,ISIC_0030839
6200,7310,ISIC_0033459
64,64,ISIC_0024698
7155,8265,ISIC_0032492
4141,5250,ISIC_0031758
3418,4527,ISIC_0029903
7363,8473,ISIC_0030842
2978,4087,ISIC_0026572
4856,5965,ISIC_0031562
6066,7176,ISIC_0034290
2044,3153,ISIC_0025206
231,231,ISIC_0033529
6903,8013,ISIC_0034217
6284,7394,ISIC_0032899
7720,8831,ISIC_0025463
2854,3963,ISIC_0027110
8647,9759,ISIC_0030827
5589,6698,ISIC_0027855
6473,7583,ISIC_0034149
1469,2578,ISIC_0026439
3899,5008,ISIC_0030895
2428,3537,ISIC_0031402
8377,9489,ISIC_0032631
6549,7659,ISIC_0032813
2986,4095,ISIC_0025437
3147,4256,ISIC_0025377
819,819,ISIC_0031853
1248,2357,ISIC_0033158
7057,8167,ISIC_0029431
1753,2862,ISIC_0027629
1148,1148,ISIC_0029962
1785,2894,ISIC_0031470
7028,8138,ISIC_0032058
3263,4372,ISIC_0028071
3670,4779,ISIC_0032255
5233,6342,ISIC_0024569
5679,6789,ISIC_0032158
4438,5547,ISIC_0027972
7903,9015,ISIC_0028243
3215,4324,ISIC_0026734
4247,5356,ISIC_0025857
5187,6296,ISIC_0031161
4468,5577,ISIC_0031879
4985,6094,ISIC_0031626
2393,3502,ISIC_0025298
6385,7495,ISIC_0032971
5209,6318,ISIC_0025760
6047,7157,ISIC_0033371
6849,7959,ISIC_0034191
3378,4487,ISIC_0029419
5729,6839,ISIC_0031143
367,367,ISIC_0031060
2136,3245,ISIC_0026242
6171,7281,ISIC_0025855
3078,4187,ISIC_0031724
2501,3610,ISIC_0028443
6566,7676,ISIC_0033282
4204,5313,ISIC_0026919
1860,2969,ISIC_0031971
1452,2561,ISIC_0028323
2408,3517,ISIC_0028921
6058,7168,ISIC_0034083
1364,2473,ISIC_0026760
7480,8590,ISIC_0031046
4655,5764,ISIC_0026903
5485,6594,ISIC_0026517
2003,3112,ISIC_0032317
7770,8882,ISIC_0028023
4515,5624,ISIC_0031283
2739,3848,ISIC_0028177
2925,4034,ISIC_0026220
7487,8597,ISIC_0028557
8304,9416,ISIC_0032912
2194,3303,ISIC_0025056
6556,7666,ISIC_0033637
108,108,ISIC_0031212
8330,9442,ISIC_0033335
1400,2509,ISIC_0027865
884,884,ISIC_0027831
2934,4043,ISIC_0028561
5439,6548,ISIC_0028452
4304,5413,ISIC_0031788
8548,9660,ISIC_0031323
2201,3310,ISIC_0027576
3983,5092,ISIC_0028203
3816,4925,ISIC_0026642
5794,6904,ISIC_0029409
8444,9556,ISIC_0034302
1760,2869,ISIC_0024345
4282,5391,ISIC_0031873
6562,7672,ISIC_0033894
373,373,ISIC_0026775
5809,6919,ISIC_0025687
4490,5599,ISIC_0030708
6179,7289,ISIC_0028159
645,645,ISIC_0026961
6220,7330,ISIC_0033388
7310,8420,ISIC_0027897
5929,7039,ISIC_0030053
1474,2583,ISIC_0030349
223,223,ISIC_0032567
8651,9763,ISIC_0028372
6708,7818,ISIC_0033111
4568,5677,ISIC_0027635
7984,9096,ISIC_0030856
1985,3094,ISIC_0025407
6827,7937,ISIC_0033792
1075,1075,ISIC_0025431
2087,3196,ISIC_0030016
4949,6058,ISIC_0030044
4837,5946,ISIC_0030515
6060,7170,ISIC_0026618
5580,6689,ISIC_0029214
1259,2368,ISIC_0032919
5333,6442,ISIC_0029098
7180,8290,ISIC_0029865
528,528,ISIC_0030396
1044,1044,ISIC_0029731
928,928,ISIC_0033022
6025,7135,ISIC_0032891
6365,7475,ISIC_0033618
4980,6089,ISIC_0024759
7372,8482,ISIC_0032474
6642,7752,ISIC_0033493
5716,6826,ISIC_0030874
578,578,ISIC_0027990
456,456,ISIC_0026477
6960,8070,ISIC_0029775
5684,6794,ISIC_0030664
3025,4134,ISIC_0029711
8816,9928,ISIC_0028063
7689,8799,ISIC_0025088
1478,2587,ISIC_0031489
8841,9953,ISIC_0027294
5247,6356,ISIC_0032142
2597,3706,ISIC_0032367
187,187,ISIC_0032863
5256,6365,ISIC_0026288
1105,1105,ISIC_0030244
4429,5538,ISIC_0028153
6488,7598,ISIC_0034073
7393,8503,ISIC_0029583
8685,9797,ISIC_0027753
7427,8537,ISIC_0031126
5425,6534,ISIC_0029333
2242,3351,ISIC_0028462
8898,10010,ISIC_0033084
3680,4789,ISIC_0031739
8721,9833,ISIC_0025953
1118,1118,ISIC_0032247
1358,2467,ISIC_0027146
6305,7415,ISIC_0032667
7145,8255,ISIC_0027226
1508,2617,ISIC_0034143
2314,3423,ISIC_0030906
6300,7410,ISIC_0032568
4207,5316,ISIC_0030864
3190,4299,ISIC_0028284
885,885,ISIC_0024602
6466,7576,ISIC_0032701
3642,4751,ISIC_0028140
3314,4423,ISIC_0025241
1501,2610,ISIC_0033001
6062,7172,ISIC_0025456
5089,6198,ISIC_0030090
1456,2565,ISIC_0027478
2983,4092,ISIC_0024778
4093,5202,ISIC_0025829
